,SERVICE_PROVIDER_ID,COUNTRY_CODE,YEAR_NO,MONTH_NO,DAY_NO,HOUR_NO,NumberOfHits,DATA_TYPE
77,7,434.0,2023.0,2.0,4.0,7.0,2353,GEO DATA
78,7,434.0,2023.0,2.0,4.0,8.0,2350,GEO DATA
79,7,434.0,2023.0,2.0,4.0,9.0,2760,GEO DATA
80,7,434.0,2023.0,2.0,4.0,10.0,2771,GEO DATA
81,7,434.0,2023.0,2.0,4.0,11.0,3303,GEO DATA
82,7,434.0,2023.0,2.0,4.0,12.0,3608,GEO DATA
83,7,434.0,2023.0,2.0,4.0,13.0,3957,GEO DATA
84,7,434.0,2023.0,2.0,4.0,14.0,3398,GEO DATA
85,7,434.0,2023.0,2.0,4.0,15.0,5565,GEO DATA
86,7,434.0,2023.0,2.0,4.0,16.0,4149,GEO DATA
87,7,434.0,2023.0,2.0,4.0,17.0,3761,GEO DATA
88,7,434.0,2023.0,2.0,4.0,18.0,4619,GEO DATA
89,7,434.0,2023.0,2.0,4.0,19.0,4113,GEO DATA
90,7,434.0,2023.0,2.0,4.0,20.0,4334,GEO DATA
91,7,434.0,2023.0,2.0,4.0,21.0,2988,GEO DATA
92,7,434.0,2023.0,2.0,4.0,22.0,3709,GEO DATA
93,7,434.0,2023.0,2.0,4.0,23.0,4212,GEO DATA
94,7,434.0,2023.0,2.0,5.0,0.0,3386,GEO DATA
95,7,434.0,2023.0,2.0,5.0,1.0,2356,GEO DATA
96,7,434.0,2023.0,2.0,5.0,2.0,2023,GEO DATA
97,7,434.0,2023.0,2.0,5.0,3.0,2140,GEO DATA
98,7,434.0,2023.0,2.0,5.0,4.0,1978,GEO DATA
99,7,434.0,2023.0,2.0,5.0,5.0,1928,GEO DATA
100,7,434.0,2023.0,2.0,5.0,6.0,2444,GEO DATA
101,7,434.0,2023.0,2.0,5.0,7.0,2516,GEO DATA
102,7,434.0,2023.0,2.0,5.0,8.0,2633,GEO DATA
103,7,434.0,2023.0,2.0,5.0,9.0,2937,GEO DATA
104,7,434.0,2023.0,2.0,5.0,10.0,2711,GEO DATA
105,7,434.0,2023.0,2.0,5.0,11.0,2991,GEO DATA
106,7,434.0,2023.0,2.0,5.0,12.0,3844,GEO DATA
107,7,434.0,2023.0,2.0,5.0,13.0,4391,GEO DATA
108,7,434.0,2023.0,2.0,5.0,14.0,3673,GEO DATA
109,7,434.0,2023.0,2.0,5.0,15.0,6135,GEO DATA
110,7,434.0,2023.0,2.0,5.0,16.0,4975,GEO DATA
111,7,434.0,2023.0,2.0,5.0,17.0,3966,GEO DATA
112,7,434.0,2023.0,2.0,5.0,18.0,4853,GEO DATA
113,7,434.0,2023.0,2.0,5.0,19.0,4147,GEO DATA
114,7,434.0,2023.0,2.0,5.0,20.0,4260,GEO DATA
115,7,434.0,2023.0,2.0,5.0,21.0,3064,GEO DATA
116,7,434.0,2023.0,2.0,5.0,22.0,3847,GEO DATA
117,7,434.0,2023.0,2.0,5.0,23.0,4455,GEO DATA
118,7,434.0,2023.0,2.0,6.0,0.0,2866,GEO DATA
119,7,434.0,2023.0,2.0,6.0,1.0,2834,GEO DATA
120,7,434.0,2023.0,2.0,6.0,2.0,1894,GEO DATA
121,7,434.0,2023.0,2.0,6.0,3.0,1925,GEO DATA
122,7,434.0,2023.0,2.0,6.0,4.0,1714,GEO DATA
123,7,434.0,2023.0,2.0,6.0,5.0,1786,GEO DATA
124,7,434.0,2023.0,2.0,6.0,6.0,2457,GEO DATA
125,7,434.0,2023.0,2.0,6.0,7.0,2561,GEO DATA
126,7,434.0,2023.0,2.0,6.0,8.0,2661,GEO DATA
127,7,434.0,2023.0,2.0,6.0,9.0,2973,GEO DATA
128,7,434.0,2023.0,2.0,6.0,10.0,2894,GEO DATA
129,7,434.0,2023.0,2.0,6.0,11.0,3075,GEO DATA
130,7,434.0,2023.0,2.0,6.0,12.0,3478,GEO DATA
131,7,434.0,2023.0,2.0,6.0,13.0,4460,GEO DATA
132,7,434.0,2023.0,2.0,6.0,14.0,3301,GEO DATA
133,7,434.0,2023.0,2.0,6.0,15.0,6386,GEO DATA
134,7,434.0,2023.0,2.0,6.0,16.0,4764,GEO DATA
135,7,434.0,2023.0,2.0,6.0,17.0,3924,GEO DATA
136,7,434.0,2023.0,2.0,6.0,18.0,4921,GEO DATA
137,7,434.0,2023.0,2.0,6.0,19.0,4170,GEO DATA
138,7,434.0,2023.0,2.0,6.0,20.0,4635,GEO DATA
139,7,434.0,2023.0,2.0,6.0,21.0,4848,GEO DATA
140,7,434.0,2023.0,2.0,6.0,22.0,4139,GEO DATA
141,7,434.0,2023.0,2.0,6.0,23.0,3984,GEO DATA
142,7,434.0,2023.0,2.0,7.0,0.0,2912,GEO DATA
