,DeviceID,Date,Location,DurationOfStay
0,436cab63-5002-475d-8d11-c321e5850659,2024-01-13,"(33.890104788294245, 35.55848432151473)",0.7038888888888889
1,436cab63-5002-475d-8d11-c321e5850659,2024-01-13,Other,7.9575
4,436cab63-5002-475d-8d11-c321e5850659,2024-01-13,Unknown,15.338611111111112
2,436cab63-5002-475d-8d11-c321e5850659,2024-01-14,"(33.890104788294245, 35.55848432151473)",2.8419444444444446
3,436cab63-5002-475d-8d11-c321e5850659,2024-01-14,Other,11.418888888888887
6,436cab63-5002-475d-8d11-c321e5850659,2024-01-14,Unknown,9.73916666666667
