,DeviceID,Date,Location,DurationOfStay
0,4ba0c8c3-e6c2-4e3a-89f0-18eb148bae59,2024-01-13,"(33.89012917529705, 35.55854344683324)",4.184722222222222
1,4ba0c8c3-e6c2-4e3a-89f0-18eb148bae59,2024-01-13,Other,8.368333333333336
4,4ba0c8c3-e6c2-4e3a-89f0-18eb148bae59,2024-01-13,Unknown,11.446944444444442
2,4ba0c8c3-e6c2-4e3a-89f0-18eb148bae59,2024-01-14,"(33.89012917529705, 35.55854344683324)",3.4308333333333336
3,4ba0c8c3-e6c2-4e3a-89f0-18eb148bae59,2024-01-14,Other,8.332777777777777
6,4ba0c8c3-e6c2-4e3a-89f0-18eb148bae59,2024-01-14,Unknown,12.23638888888889
