Device_ID_geo,Latitude,Longitude,Timestamp,Location_Name,Service_Provider_ID
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88806,35.49264,1695675702000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88803,35.49262,1695676066000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88808,35.49269,1695676460000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88803,35.49267,1695680042000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88805,35.49269,1695680075000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88809,35.49271,1695683827000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88812,35.49264,1695685406000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88804,35.49268,1695685871000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88804,35.49262,1695686552000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88803,35.49262,1695686890000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88805,35.49267,1695687189000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88807,35.49264,1695687874000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.888,35.49264,1695688244000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88803,35.49268,1695688570000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88804,35.49267,1695689012000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88807,35.49264,1695689351000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88803,35.49262,1695689894000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88808,35.49265,1695693048000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88807,35.49262,1695698125000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88802,35.49266,1695698141000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88807,35.49263,1695699550000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88809,35.4927,1695700074000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88806,35.49268,1695700362000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88809,35.49262,1695700732000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88806,35.49264,1695701261000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88808,35.49265,1695701598000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88811,35.49262,1695702706000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88807,35.49268,1695703055000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88807,35.4926,1695703325000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88802,35.49267,1695703693000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88805,35.49267,1695703983000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88808,35.49268,1695704266000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88805,35.49269,1695704576000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88806,35.49267,1695704911000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88808,35.49267,1695705202000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88803,35.49269,1695705599000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88803,35.49271,1695705921000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88804,35.49262,1695706466000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88801,35.49259,1695706962000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88808,35.49268,1695707319000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.88804,35.49259,1695707724000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
9f4f2f17-feca-4e98-a2fb-582da75f2d3a,33.8881,35.49266,1695708053000,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,9
