,Device_ID_geo,Latitude,Longitude,Timestamp,Location_Name,Service_Provider_ID,HourOfDay,Date,Cluster,Location
1,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89216,35.49209,2023-09-26 01:06:11,b799f49f-81b1-491b-ab99-9092bc8c7325,9,1,2023-09-26,0,"(33.89214149, 35.49206128)"
2,b799f49f-81b1-491b-ab99-9092bc8c7325,33.8922,35.49205,2023-09-26 01:12:06,b799f49f-81b1-491b-ab99-9092bc8c7325,9,1,2023-09-26,0,"(33.89214149, 35.49206128)"
3,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89221,35.49208,2023-09-26 01:18:56,b799f49f-81b1-491b-ab99-9092bc8c7325,9,1,2023-09-26,0,"(33.89214149, 35.49206128)"
4,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89217,35.49202,2023-09-26 01:26:01,b799f49f-81b1-491b-ab99-9092bc8c7325,9,1,2023-09-26,0,"(33.89214149, 35.49206128)"
5,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89222,35.49206,2023-09-26 01:41:13,b799f49f-81b1-491b-ab99-9092bc8c7325,9,1,2023-09-26,0,"(33.89214149, 35.49206128)"
6,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89218,35.49206,2023-09-26 01:47:01,b799f49f-81b1-491b-ab99-9092bc8c7325,9,1,2023-09-26,0,"(33.89214149, 35.49206128)"
7,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89213,35.49204,2023-09-26 01:55:59,b799f49f-81b1-491b-ab99-9092bc8c7325,9,1,2023-09-26,0,"(33.89214149, 35.49206128)"
8,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89214,35.4921,2023-09-26 02:01:08,b799f49f-81b1-491b-ab99-9092bc8c7325,9,2,2023-09-26,0,"(33.89214149, 35.49206128)"
9,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89212,35.4921,2023-09-26 02:14:41,b799f49f-81b1-491b-ab99-9092bc8c7325,9,2,2023-09-26,0,"(33.89214149, 35.49206128)"
10,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89217,35.49209,2023-09-26 02:19:33,b799f49f-81b1-491b-ab99-9092bc8c7325,9,2,2023-09-26,0,"(33.89214149, 35.49206128)"
11,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89217,35.49204,2023-09-26 02:26:21,b799f49f-81b1-491b-ab99-9092bc8c7325,9,2,2023-09-26,0,"(33.89214149, 35.49206128)"
12,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89217,35.49205,2023-09-26 02:31:26,b799f49f-81b1-491b-ab99-9092bc8c7325,9,2,2023-09-26,0,"(33.89214149, 35.49206128)"
13,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89214,35.49206,2023-09-26 02:32:42,b799f49f-81b1-491b-ab99-9092bc8c7325,9,2,2023-09-26,0,"(33.89214149, 35.49206128)"
14,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89214,35.49208,2023-09-26 02:37:53,b799f49f-81b1-491b-ab99-9092bc8c7325,9,2,2023-09-26,0,"(33.89214149, 35.49206128)"
15,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89213,35.49204,2023-09-26 02:47:37,b799f49f-81b1-491b-ab99-9092bc8c7325,9,2,2023-09-26,0,"(33.89214149, 35.49206128)"
17,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89197,35.49203,2023-09-26 08:58:21,b799f49f-81b1-491b-ab99-9092bc8c7325,9,8,2023-09-26,0,"(33.89214149, 35.49206128)"
21,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89212,35.49206,2023-09-26 09:38:23,b799f49f-81b1-491b-ab99-9092bc8c7325,9,9,2023-09-26,0,"(33.89214149, 35.49206128)"
27,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89212,35.49193,2023-09-26 10:15:12,b799f49f-81b1-491b-ab99-9092bc8c7325,9,10,2023-09-26,0,"(33.89214149, 35.49206128)"
28,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89208,35.49195,2023-09-26 10:21:56,b799f49f-81b1-491b-ab99-9092bc8c7325,9,10,2023-09-26,0,"(33.89214149, 35.49206128)"
29,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89209,35.49188,2023-09-26 10:27:56,b799f49f-81b1-491b-ab99-9092bc8c7325,9,10,2023-09-26,0,"(33.89214149, 35.49206128)"
48,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89209,35.49191,2023-09-26 12:18:03,b799f49f-81b1-491b-ab99-9092bc8c7325,9,12,2023-09-26,0,"(33.89214149, 35.49206128)"
50,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89201,35.492,2023-09-26 12:37:14,b799f49f-81b1-491b-ab99-9092bc8c7325,9,12,2023-09-26,0,"(33.89214149, 35.49206128)"
56,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89207,35.49193,2023-09-26 13:22:20,b799f49f-81b1-491b-ab99-9092bc8c7325,9,13,2023-09-26,0,"(33.89214149, 35.49206128)"
57,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89212,35.49193,2023-09-26 13:28:29,b799f49f-81b1-491b-ab99-9092bc8c7325,9,13,2023-09-26,0,"(33.89214149, 35.49206128)"
58,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89205,35.49193,2023-09-26 13:38:44,b799f49f-81b1-491b-ab99-9092bc8c7325,9,13,2023-09-26,0,"(33.89214149, 35.49206128)"
59,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89206,35.49189,2023-09-26 13:39:50,b799f49f-81b1-491b-ab99-9092bc8c7325,9,13,2023-09-26,0,"(33.89214149, 35.49206128)"
60,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89205,35.49191,2023-09-26 13:48:02,b799f49f-81b1-491b-ab99-9092bc8c7325,9,13,2023-09-26,0,"(33.89214149, 35.49206128)"
61,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89218,35.49216,2023-09-26 13:54:34,b799f49f-81b1-491b-ab99-9092bc8c7325,9,13,2023-09-26,0,"(33.89214149, 35.49206128)"
62,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89209,35.49217,2023-09-26 14:01:46,b799f49f-81b1-491b-ab99-9092bc8c7325,9,14,2023-09-26,0,"(33.89214149, 35.49206128)"
63,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89218,35.49221,2023-09-26 14:13:27,b799f49f-81b1-491b-ab99-9092bc8c7325,9,14,2023-09-26,0,"(33.89214149, 35.49206128)"
64,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89215,35.49216,2023-09-26 14:19:19,b799f49f-81b1-491b-ab99-9092bc8c7325,9,14,2023-09-26,0,"(33.89214149, 35.49206128)"
65,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89201,35.492,2023-09-26 14:34:34,b799f49f-81b1-491b-ab99-9092bc8c7325,9,14,2023-09-26,0,"(33.89214149, 35.49206128)"
66,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89206,35.49184,2023-09-26 14:48:19,b799f49f-81b1-491b-ab99-9092bc8c7325,9,14,2023-09-26,0,"(33.89214149, 35.49206128)"
67,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89212,35.49222,2023-09-26 14:56:08,b799f49f-81b1-491b-ab99-9092bc8c7325,9,14,2023-09-26,0,"(33.89214149, 35.49206128)"
68,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89211,35.49218,2023-09-26 14:56:28,b799f49f-81b1-491b-ab99-9092bc8c7325,9,14,2023-09-26,0,"(33.89214149, 35.49206128)"
