,DeviceID,Date,Location,DurationOfStay
0,48b1ecce-302d-4926-ac36-381ac665d257,2024-01-13,Other,9.678888888888888
4,48b1ecce-302d-4926-ac36-381ac665d257,2024-01-13,Unknown,14.321111111111112
1,48b1ecce-302d-4926-ac36-381ac665d257,2024-01-14,"(33.929890369891424, 35.58852950689914)",1.5172222222222222
2,48b1ecce-302d-4926-ac36-381ac665d257,2024-01-14,Other,21.818333333333335
5,48b1ecce-302d-4926-ac36-381ac665d257,2024-01-14,Unknown,0.6644444444444417
3,48b1ecce-302d-4926-ac36-381ac665d257,2024-01-15,Other,24.0
7,48b1ecce-302d-4926-ac36-381ac665d257,2024-01-15,Unknown,0.0
