device_id,service_provider_id,usage_timeframe,country_alpha2,country_alpha3,country_code,data_category,day_no,device_carrier_name,device_hit_count,device_manufacturer_brand,device_model,hour_no,insertion_date,ip_d,location_accuracy,location_altitude,location_cou_code_num,location_density,location_latitude,location_longitude,location_main_data_id,location_name,month_no,region_code,source_file_id,subregion_code,usage_date,usage_timeline,year_no
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702649529000,LB,,422,,15,,,,,14,,,,,,,33.89027276,35.55809374,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702649562000,LB,,422,,15,,,,,14,,,,,,,33.89029376,35.55812933,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702649612000,LB,,422,,15,,,,,14,,,,,,,33.8903342,35.55812255,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702649616000,LB,,422,,15,,,,,14,,,,,,,33.89029991,35.5580933,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702649763000,LB,,422,,15,,,,,14,,,,,,,33.89031458,35.55813451,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702649790000,LB,,422,,15,,,,,14,,,,,,,33.890326,35.55812303,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702649792000,LB,,422,,15,,,,,14,,,,,,,33.89034037,35.55811331,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702649832000,LB,,422,,15,,,,,14,,,,,,,33.89041421,35.55818873,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702649851000,LB,,422,,15,,,,,14,,,,,,,33.89031416,35.55825074,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702649852000,LB,,422,,15,,,,,14,,,,,,,33.89029648,35.55811471,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702649916000,LB,,422,,15,,,,,14,,,,,,,33.89031132,35.55817352,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702649956000,LB,,422,,15,,,,,14,,,,,,,33.89029311,35.55813634,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702649967000,LB,,422,,15,,,,,14,,,,,,,33.89035973,35.55814683,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702649984000,LB,,422,,15,,,,,14,,,,,,,33.89032865,35.5581587,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702650015000,LB,,422,,15,,,,,14,,,,,,,33.89034855,35.55809728,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702650057000,LB,,422,,15,,,,,14,,,,,,,33.89033062,35.5582183,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702650103000,LB,,422,,15,,,,,14,,,,,,,33.89026963,35.55817801,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702650173000,LB,,422,,15,,,,,14,,,,,,,33.89031803,35.55811354,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702650183000,LB,,422,,15,,,,,14,,,,,,,33.8903018,35.55813645,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702650190000,LB,,422,,15,,,,,14,,,,,,,33.89031132,35.55812892,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702650239000,LB,,422,,15,,,,,14,,,,,,,33.89034321,35.55814846,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702650245000,LB,,422,,15,,,,,14,,,,,,,33.89034138,35.55815992,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702650275000,LB,,422,,15,,,,,14,,,,,,,33.89034261,35.55815703,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702650282000,LB,,422,,15,,,,,14,,,,,,,33.89024501,35.55818422,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702650286000,LB,,422,,15,,,,,14,,,,,,,33.89026661,35.55810312,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702650299000,LB,,422,,15,,,,,14,,,,,,,33.89034191,35.55809245,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702650320000,LB,,422,,15,,,,,14,,,,,,,33.89036823,35.55815872,,Radio olive azKwkspVqK,12,142,,145,,,2023
24ff6be5-6e16-473f-93ae-1062bf8e2180,9,1702650364000,LB,,422,,15,,,,,14,,,,,,,33.89028548,35.55814165,,Radio olive azKwkspVqK,12,142,,145,,,2023
