,Device_ID_geo,Location_Name,Service_Provider_ID,Latitude,Longitude,Timestamp,Cluster
10920,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92988365912762,35.58855031205817,2024-01-14 20:02:01,0
10927,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92989365064621,35.58851368420523,2024-01-14 20:03:51,0
10929,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.929876687268376,35.58855196981501,2024-01-14 20:04:04,0
10930,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.929894890534314,35.58853162973395,2024-01-14 20:04:10,0
10932,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92989146736447,35.58851114415476,2024-01-14 20:04:24,0
10934,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.9298917318239,35.58850514056038,2024-01-14 20:05:09,0
10935,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92987126412231,35.58849695448863,2024-01-14 20:05:35,0
10936,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.9298346858756,35.58854061608627,2024-01-14 20:05:41,0
10937,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92985263754828,35.588525778051824,2024-01-14 20:05:48,0
10939,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.929845984588084,35.58851730469978,2024-01-14 20:06:01,0
10940,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92988550786669,35.588485568638866,2024-01-14 20:06:07,0
10941,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92988860048655,35.58853461497272,2024-01-14 20:06:20,0
10943,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.929888787491656,35.588510235466345,2024-01-14 20:06:40,0
10944,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.929857636201014,35.588556950674466,2024-01-14 20:06:46,0
10947,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92987548103649,35.588507363487665,2024-01-14 20:07:05,0
10950,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.929881798009475,35.58853120888095,2024-01-14 20:07:18,0
10951,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92989681394837,35.58848797804373,2024-01-14 20:07:25,0
10952,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92989441809095,35.58851194534868,2024-01-14 20:07:31,0
10955,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92988504021525,35.58849425011923,2024-01-14 20:07:51,0
10956,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92985009005022,35.58854386502855,2024-01-14 20:08:04,0
10958,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92988125255221,35.58849186941406,2024-01-14 20:08:16,0
10959,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92989828502395,35.58850066716624,2024-01-14 20:08:23,0
10962,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92989277832902,35.58850909481559,2024-01-14 20:08:42,0
10964,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92989294588095,35.58850427844225,2024-01-14 20:08:55,0
10966,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92987887797256,35.588486561936584,2024-01-14 20:09:08,0
10975,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92984510742496,35.588542542480006,2024-01-14 20:10:06,0
10976,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92988224610087,35.588499923189815,2024-01-14 20:10:13,0
10982,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92986871025843,35.58854888689114,2024-01-14 20:10:58,0
10983,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92990375742879,35.588511924522805,2024-01-14 20:11:04,0
10985,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92986185956371,35.5885293850847,2024-01-14 20:11:17,0
10988,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.929868254483644,35.58849529663862,2024-01-14 20:11:43,0
10989,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92991153588233,35.58856213882595,2024-01-14 20:11:50,0
10990,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92990331694199,35.58853233784599,2024-01-14 20:11:51,0
11028,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92987004129996,35.58855951301976,2024-01-14 20:15:06,0
11063,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92987350769945,35.58856730087043,2024-01-14 20:20:33,0
11064,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.9298992898997,35.58849077770876,2024-01-14 20:20:39,0
11065,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.929892407091046,35.58852784079398,2024-01-14 20:20:46,0
11068,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92987931410794,35.58854666126455,2024-01-14 20:21:18,0
11071,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92988951964881,35.58851859146966,2024-01-14 20:21:54,0
11073,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92989073922539,35.58852621749025,2024-01-14 20:22:07,0
11074,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92990020033134,35.588487163193115,2024-01-14 20:22:19,0
11076,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92989285606236,35.588511605281575,2024-01-14 20:22:43,0
11078,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.929872945510475,35.588569227336706,2024-01-14 20:23:25,0
11079,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.929885445501796,35.5885396602856,2024-01-14 20:23:31,0
11080,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92989597373214,35.58850717131797,2024-01-14 20:23:38,0
11081,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92987460064514,35.58855989553692,2024-01-14 20:23:51,0
11082,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.929874625580275,35.58860674657984,2024-01-14 20:24:04,0
11086,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92988248634665,35.588564120750746,2024-01-14 20:24:36,0
11087,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92988126354691,35.588523530169645,2024-01-14 20:24:42,0
11088,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.9298825533112,35.58849339104804,2024-01-14 20:25:02,0
11095,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92987778165243,35.588496972199486,2024-01-14 20:26:19,0
11096,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92988150849572,35.58854329021729,2024-01-14 20:26:32,0
11097,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92988050594357,35.588520212029024,2024-01-14 20:26:39,0
11130,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.929872801248095,35.58856149318424,2024-01-14 20:30:34,0
11132,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.92989416087962,35.588511339825445,2024-01-14 20:30:47,0
11133,48b1ecce-302d-4926-ac36-381ac665d257,000000000000000,9,33.929879874725636,35.58854581034175,2024-01-14 20:31:00,0
