device_id,location_latitude,location_longitude,usage_timeframe,location_name,service_provider_id,grid
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78204,41.51073,2023-10-05 06:29:07,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.781820319424096,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78201,41.51072,2023-10-05 06:34:25,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.781820319424096,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78203,41.51079,2023-10-05 06:42:02,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.781820319424096,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78203,41.51075,2023-10-05 06:48:17,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.781820319424096,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78203,41.51081,2023-10-05 07:15:30,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.781820319424096,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78206,41.51076,2023-10-05 07:25:54,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.781820319424096,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78203,41.51077,2023-10-05 07:53:18,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.781820319424096,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78204,41.51074,2023-10-05 08:16:37,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.781820319424096,41.510913641965644"
e59a971e-b9b4-4e80-a430-440ddee94c44,24.7820648,41.5107688,2023-10-05 06:29:12,e59a971e-b9b4-4e80-a430-440ddee94c44,9,"24.781820319424096,41.510913641965644"
e59a971e-b9b4-4e80-a430-440ddee94c44,24.7820648,41.5107688,2023-10-05 06:34:45,e59a971e-b9b4-4e80-a430-440ddee94c44,9,"24.781820319424096,41.510913641965644"
e59a971e-b9b4-4e80-a430-440ddee94c44,24.7820648,41.5107688,2023-10-05 06:42:05,e59a971e-b9b4-4e80-a430-440ddee94c44,9,"24.781820319424096,41.510913641965644"
e59a971e-b9b4-4e80-a430-440ddee94c44,24.7820648,41.5107688,2023-10-05 06:48:11,e59a971e-b9b4-4e80-a430-440ddee94c44,9,"24.781820319424096,41.510913641965644"
