Unnamed: 0.1,device_id_x,location_latitude_x,location_longitude_x,usage_timeframe,location_name_x,service_provider_id_x,latitude_grid_x,longitude_grid_x,grid_x,provinance_x,country_x,city_x,lat_long_x,device_id_y,location_latitude_y,location_longitude_y,location_name_y,service_provider_id_y,latitude_grid_y,longitude_grid_y,grid_y,provinance_y,country_y,city_y,lat_long_y
0,e25d599e-c5c8-4e40-a810-880aaee58b88,25.12658,51.34121,1696118874000,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']",e25d599e-c5c8-4e40-a810-880aaee58b88,25.12658,51.34121,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9.0,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']"
1,e25d599e-c5c8-4e40-a810-880aaee58b88,25.1265566,51.3412262,1696120732000,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']",e25d599e-c5c8-4e40-a810-880aaee58b88,25.1265566,51.3412262,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9.0,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']"
2,e25d599e-c5c8-4e40-a810-880aaee58b88,25.12653,51.34121,1696121048000,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']",e25d599e-c5c8-4e40-a810-880aaee58b88,25.12653,51.34121,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9.0,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']"
3,e25d599e-c5c8-4e40-a810-880aaee58b88,25.1265564,51.3412264,1696121732000,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']",e25d599e-c5c8-4e40-a810-880aaee58b88,25.1265564,51.3412264,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9.0,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']"
4,e25d599e-c5c8-4e40-a810-880aaee58b88,25.12653,51.34118,1696122032000,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']",e25d599e-c5c8-4e40-a810-880aaee58b88,25.12653,51.34118,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9.0,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']"
5,e25d599e-c5c8-4e40-a810-880aaee58b88,25.1265564,51.3412264,1696122062000,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']",e25d599e-c5c8-4e40-a810-880aaee58b88,25.1265564,51.3412264,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9.0,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']"
6,e25d599e-c5c8-4e40-a810-880aaee58b88,25.12656,51.34126,1696122838000,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']",e25d599e-c5c8-4e40-a810-880aaee58b88,25.12656,51.34126,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9.0,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']"
7,e25d599e-c5c8-4e40-a810-880aaee58b88,25.1265566,51.3412262,1696123084000,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']",e25d599e-c5c8-4e40-a810-880aaee58b88,25.1265566,51.3412262,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9.0,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']"
8,e25d599e-c5c8-4e40-a810-880aaee58b88,25.12659,51.34122,1696124090000,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']",e25d599e-c5c8-4e40-a810-880aaee58b88,25.12659,51.34122,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9.0,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']"
9,e25d599e-c5c8-4e40-a810-880aaee58b88,25.12879,51.33351,1696125316000,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9,25.12864687901315,51.33360563365103,"25.12864687901315,51.33360563365103",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']",e25d599e-c5c8-4e40-a810-880aaee58b88,25.12879,51.33351,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9.0,25.12864687901315,51.33360563365103,"25.12864687901315,51.33360563365103",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']"
10,e25d599e-c5c8-4e40-a810-880aaee58b88,25.1287669,51.3334926,1696125334000,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9,25.12864687901315,51.33360563365103,"25.12864687901315,51.33360563365103",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']",e25d599e-c5c8-4e40-a810-880aaee58b88,25.1287669,51.3334926,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9.0,25.12864687901315,51.33360563365103,"25.12864687901315,51.33360563365103",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']"
11,e25d599e-c5c8-4e40-a810-880aaee58b88,25.12872,51.33359,1696125614000,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9,25.12864687901315,51.33360563365103,"25.12864687901315,51.33360563365103",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']",e25d599e-c5c8-4e40-a810-880aaee58b88,25.12872,51.33359,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9.0,25.12864687901315,51.33360563365103,"25.12864687901315,51.33360563365103",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']"
12,e25d599e-c5c8-4e40-a810-880aaee58b88,25.12654,51.34127,1696127632000,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']",e25d599e-c5c8-4e40-a810-880aaee58b88,25.12654,51.34127,4645e9fad75cd3da83caa25f63fde71baacde6255c9669ed2e553f6cd82d74e9,9.0,25.12638594968076,51.34117277654894,"25.126385949680756,51.34117277654894",Baladiyat ar Rayyan,QA,Ar Rayyan,"['25.29194', '51.42444']"
