,device_id,location_latitude,location_longitude,usage_timeframe,grid,main_id,service_provider_id,location_name,provinance,country,city,lat_long
63,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9305058,35.6128811,1696741938000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
64,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9305058,35.6128811,1696742348000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
65,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9305058,35.6128811,1696742348000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
66,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9305058,35.6128811,1696742758000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
67,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9305058,35.6128811,1696742758000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
68,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.93056,35.6128649,1696743387000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
69,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.93056,35.6128649,1696743387000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
70,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.93056,35.6128649,1696743837000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
71,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.93056,35.6128649,1696743837000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
72,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.93056,35.6128649,1696744247000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
73,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.93056,35.6128649,1696744247000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
74,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.93056,35.6128649,1696744657000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
75,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.93056,35.6128649,1696744657000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
76,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.93056,35.6128649,1696745067000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
77,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.93056,35.6128649,1696745067000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
78,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.930555,35.612876,1696745539000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
79,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.930555,35.612876,1696745539000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
